filter_file,telescope,camera,filter,surveys,description
90prime_g.xml,The Bok Telescope ,The 90-inch prime focus camera (90prime),g,,
90prime_r.xml,The Bok Telescope ,The 90-inch prime focus camera (90prime),r,,
90prime_z.xml,The Bok Telescope ,The 90-inch prime focus camera (90prime),z,,
acs_f435w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f435w,,
acs_f606w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f606w,,
acs_f775w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f775w,,
acs_f814w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f814w,,
acs_f850lp.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f850lp,,
bessell_b.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),b,,
bessell_i.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),i,,
bessell_r.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),r,,
bessell_u.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),u,,
bessell_v.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),v,,
cfht12k_b.xml,Canada France Hawaii Telescope (CFHT),The CFH12K prime focus 12K camera,b,,
cfht12k_i.xml,Canada France Hawaii Telescope (CFHT),The CFH12K prime focus 12K camera,i,,
cfht12k_r.xml,Canada France Hawaii Telescope (CFHT),The CFH12K prime focus 12K camera,r,,
decam_g.xml,Blanco,The Dark Energy Camera (DECam),g,,
decam_i.xml,Blanco,The Dark Energy Camera (DECam),i,,
decam_r.xml,Blanco,The Dark Energy Camera (DECam),r,,
decam_y.xml,Blanco,The Dark Energy Camera (DECam),y,,
decam_z.xml,Blanco,The Dark Energy Camera (DECam),z,,
galex_fuv.xml,The Galaxy Evolution Exporer (GALEX),GALEX,fuv,,
galex_nuv.xml,The Galaxy Evolution Exporer (GALEX),GALEX,nuv,,
gpc1_g.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,g,,
gpc1_i.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,i,,
gpc1_r.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,r,,
gpc1_y.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,y,,
gpc1_z.xml,The Panoramic Survey Telescope and Rapid Response System (Pan-STARRS),The Pan-STARRS Gigapixel Camera,z,,
hawki_k.xml,Paranal,The High Acuity Wide field K-band Imager (HAWK-I),K,,
irac_i1.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i1,,
irac_i2.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i2,,
irac_i3.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i3,,
irac_i4.xml,The Spitzer Space Telescope,The Infrared Array Camera (IRAC),i4,,
isaac_k.xml,Paranal,The Infrared Spectrometer And Array Camera (ISAAC),Ks,,
megacam_g.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,g,,
megacam_i.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,i,,
megacam_r.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,r,,
megacam_u.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,u,,
megacam_y.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,y,,
megacam_z.xml,Canada France Hawaii Telescope (CFHT),MegaPrime/MegaCam,z,,
mips_24.xml,The Spitzer Space Telescope,The Multiband Imaging Photometer (MIPS),24um,,
mmt_g.xml,The Multiple Mirror Telescope (MMT) Observatory,MegaCam,g,,
mmt_i.xml,The Multiple Mirror Telescope (MMT) Observatory,MegaCam,i,,
mmt_r.xml,The Multiple Mirror Telescope (MMT) Observatory,MegaCam,r,,
mmt_u.xml,The Multiple Mirror Telescope (MMT) Observatory,MegaCam,u,,
mmt_z.xml,The Multiple Mirror Telescope (MMT) Observatory,MegaCam,z,,
moircs_k.xml,The Subaru telescope,The Multi Object Infrared Camera and Spectrograph (MOIRCS),K,,
moircs_ks.xml,The Subaru telescope,The Multi Object Infrared Camera and Spectrograph (MOIRCS),Ks,,
mosaic_b.xml,The Kitt Peak National Observatory,Mosaic-3 Wide Field Imager,b,,
mosaic_i.xml,The Kitt Peak National Observatory,Mosaic-3 Wide Field Imager,i,,
mosaic_r.xml,The Kitt Peak National Observatory,Mosaic-3 Wide Field Imager,r,,
mosaic_u.xml,The Kitt Peak National Observatory,Mosaic-3 Wide Field Imager,u,,
mosaic_z.xml,The Kitt Peak National Observatory,Mosaic-3 Wide Field Imager,z,,
newfirm_h.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),H,,
newfirm_h1.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),H1,,
newfirm_h2.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),H2,,
newfirm_j.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),J,,
newfirm_j1.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),J1,,
newfirm_j2.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),J2,,
newfirm_j3.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),J3,,
newfirm_k.xml,National Optical Astronomy Observatory (NOAO) Gemini Observatory,National Optical Astronomy Observatory (NOAO) Extremely Wide-Field Imager (NEWFIRM),K,,
nicmos_f110w.xml,Hubble Space Telescope (HST),The Near Infrared Camera and Multi-Object Spectrometer (NICMOS),f110w,,
nicmos_f160w.xml,Hubble Space Telescope (HST),The Near Infrared Camera and Multi-Object Spectrometer (NICMOS),f160w,,
omega2000_j.xml,The 3.5m telescope at Calar Alto,The Infrared Wide-Field Camera OMEGA2000,J,,
omega2000_ks.xml,The 3.5m telescope at Calar Alto,The Infrared Wide-Field Camera OMEGA2000,Ks,,
omegacam_g.xml,The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal,OmegaCAM,g,,
omegacam_i.xml,The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal,OmegaCAM,i,,
omegacam_r.xml,The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal,OmegaCAM,r,,
omegacam_u.xml,The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal,OmegaCAM,u,,
omegacam_z.xml,The Very Large Telescope (VLT) Survey Telescope (VST) at Paranal,OmegaCAM,z,,
pacs_green.xml,The Herschel Space Telescope,Photoconductor Array Camera and Spectrometer (PACS),green,,
pacs_red.xml,The Herschel Space Telescope,Photoconductor Array Camera and Spectrometer (PACS),red,,
quirc_hk.xml,The University of Hawaii 2.2m telescope,The Quick Near-Infrared Camera,H-K,,
sdss_g.xml,The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory,The Sloan Digital Sky Survey (SDSS) standard camera,g,,
sdss_i.xml,The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory,The Sloan Digital Sky Survey (SDSS) standard camera,i,,
sdss_r.xml,The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory,The Sloan Digital Sky Survey (SDSS) standard camera,r,,
sdss_u.xml,The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory,The Sloan Digital Sky Survey (SDSS) standard camera,u,,
sdss_z.xml,The Sloan Digital Sky Survey (SDSS) dedicated telescope at Apache Point Observatory,The Sloan Digital Sky Survey (SDSS) standard camera,z,,
