filter_file,telescope,camera,filter,surveys,description,wavelength_region
90prime_g.xml,The Bok Telescope ,The 90-inch prime focus camera (90prime),g,,,opt
90prime_r.xml,The Bok Telescope ,The 90-inch prime focus camera (90prime),r,,,opt
90prime_z.xml,The Bok Telescope ,The 90-inch prime focus camera (90prime),z,,,opt
acs_f435w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f435w,,,opt
acs_f606w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f606w,,,opt
acs_f775w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f775w,,,opt
acs_f814w.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f814w,,,opt
acs_f850lp.xml,Hubble Space Telescope (HST),Advanced Camera for Surveys (ACS),f850lp,,,opt
bessell_b.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),b,,,opt
bessell_i.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),i,,,opt
bessell_r.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),r,,,opt
bessell_u.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),u,,,opt
bessell_v.xml,Standardised telescope response (telescope uknown),Standard camera response (camera unknown),v,,,opt
cfht12k_b.xml,Canada France Hawaii Telescope (CFHT),The CFH12K prime focus 12K camera,b,,,opt
cfht12k_i.xml,Canada France Hawaii Telescope (CFHT),The CFH12K prime focus 12K camera,i,,,opt
cfht12k_r.xml,Canada France Hawaii Telescope (CFHT),The CFH12K prime focus 12K camera,r,,,opt
decam_g.xml,Blanco,The Dark Energy Camera (DECam),g,,,opt
decam_i.xml,Blanco,The Dark Energy Camera (DECam),i,,,opt
decam_r.xml,Blanco,The Dark Energy Camera (DECam),r,,,opt
decam_y.xml,Blanco,The Dark Energy Camera (DECam),y,,,opt
decam_z.xml,Blanco,The Dark Energy Camera (DECam),z,,,opt
galex_fuv.xml,The Galaxy Evolution Exporer (GALEX),GALEX,fuv,,,UV
