#
#
# "== FILTER DATA - LAMBDA 9 SPECTROPHOTOMETER =="
# "   KITT PEAK NATIONAL OBSERVATORY - NOAO"
#  ------------------------------------------------
# "FILTER: MOSAIC B_W, BANDPASS TEST, POSN 9, .2SLIT,15NM/MIN,1SEC      "
# "DATE: ""10/ 8/97"   "TIME: ""12:39:56"
# " CWL= "  4135.49A  "FWHM= " 1277.81A  "TMAX= "94.81 %
# "TCUTOFF= " 2.00 %  "SLITSIZE= " 2 A
# 
# 
# 
# 
# "NPTS= " 901     "DISP= " 2.00A/INTERVAL
   3200.00     -.010
   3202.00     -.015
   3204.00     -.005
   3206.00      .010
   3208.00     -.010
   3210.00     -.015
   3212.00     -.010
   3214.00     -.020
   3216.00     -.020
   3218.00     -.010
   3220.00      .005
   3222.00      .005
   3224.00      .000
   3226.00      .000
   3228.00     -.010
   3230.00      .010
   3232.00     -.005
   3234.00      .000
   3236.00     -.005
   3238.00     -.005
   3240.00     -.020
   3242.00      .000
   3244.00      .000
   3246.00      .000
   3248.00     -.015
   3250.00     -.005
   3252.00      .005
   3254.00      .005
   3256.00     -.015
   3258.00     -.010
   3260.00     -.010
   3262.00     -.010
   3264.00      .000
   3266.00     -.005
   3268.00     -.015
   3270.00      .010
   3272.00      .010
   3274.00     -.025
   3276.00     -.010
   3278.00     -.005
   3280.00      .000
   3282.00     -.020
   3284.00     -.010
   3286.00     -.005
   3288.00      .005
   3290.00     -.010
   3292.00      .000
   3294.00     -.030
   3296.00      .000
   3298.00     -.005
   3300.00     -.005
   3302.00     -.010
   3304.00      .005
   3306.00     -.020
   3308.00     -.015
   3310.00      .000
   3312.00      .005
   3314.00     -.015
   3316.00     -.015
   3318.00     -.010
   3320.00      .000
   3322.00     -.005
   3324.00     -.005
   3326.00     -.015
   3328.00      .000
   3330.00      .000
   3332.00      .000
   3334.00     -.025
   3336.00     -.005
   3338.00      .000
   3340.00      .005
   3342.00      .000
   3344.00      .000
   3346.00     -.020
   3348.00     -.005
   3350.00      .000
   3352.00     -.010
   3354.00     -.015
   3356.00     -.020
   3358.00      .000
   3360.00      .005
   3362.00      .005
   3364.00     -.005
   3366.00     -.005
   3368.00      .000
   3370.00      .000
   3372.00      .000
   3374.00      .000
   3376.00      .010
   3378.00      .000
   3380.00     -.015
   3382.00     -.005
   3384.00      .000
   3386.00     -.005
   3388.00      .010
   3390.00     -.005
   3392.00     -.015
   3394.00      .000
   3396.00      .000
   3398.00     -.010
   3400.00      .010
   3402.00      .005
   3404.00      .020
   3406.00      .015
   3408.00      .015
   3410.00      .010
   3412.00      .025
   3414.00      .030
   3416.00      .045
   3418.00      .055
   3420.00      .070
   3422.00      .095
   3424.00      .100
   3426.00      .140
   3428.00      .195
   3430.00      .275
   3432.00      .345
   3434.00      .435
   3436.00      .580
   3438.00      .765
   3440.00     1.055
   3442.00     1.340
   3444.00     1.730
   3446.00     2.325
   3448.00     3.050
   3450.00     4.035
   3452.00     5.305
   3454.00     7.075
   3456.00     9.105
   3458.00    11.750
   3460.00    15.230
   3462.00    19.545
   3464.00    24.275
   3466.00    29.680
   3468.00    34.765
   3470.00    40.020
   3472.00    44.320
   3474.00    47.860
   3476.00    50.465
   3478.00    52.205
   3480.00    53.110
   3482.00    54.140
   3484.00    54.555
   3486.00    54.710
   3488.00    54.720
   3490.00    54.935
   3492.00    54.945
   3494.00    55.450
   3496.00    56.200
   3498.00    56.000
   3500.00    57.010
   3502.00    56.515
   3504.00    57.375
   3506.00    57.950
   3508.00    58.350
   3510.00    59.365
   3512.00    59.165
   3514.00    59.730
   3516.00    59.715
   3518.00    60.075
   3520.00    60.850
   3522.00    61.165
   3524.00    61.765
   3526.00    62.025
   3528.00    62.275
   3530.00    63.090
   3532.00    63.795
   3534.00    64.190
   3536.00    64.735
   3538.00    65.670
   3540.00    66.495
   3542.00    67.255
   3544.00    67.625
   3546.00    68.140
   3548.00    68.395
   3550.00    69.405
   3552.00    69.555
   3554.00    69.480
   3556.00    69.965
   3558.00    70.150
   3560.00    70.140
   3562.00    69.595
   3564.00    70.430
   3566.00    70.210
   3568.00    70.035
   3570.00    70.100
   3572.00    70.770
   3574.00    71.070
   3576.00    71.050
   3578.00    71.600
   3580.00    71.790
   3582.00    72.665
   3584.00    73.245
   3586.00    73.505
   3588.00    73.865
   3590.00    74.275
   3592.00    75.010
   3594.00    74.955
   3596.00    75.540
   3598.00    75.745
   3600.00    75.525
   3602.00    75.285
   3604.00    75.655
   3606.00    75.480
   3608.00    75.585
   3610.00    75.590
   3612.00    75.880
   3614.00    75.825
   3616.00    75.925
   3618.00    76.240
   3620.00    76.895
   3622.00    77.135
   3624.00    78.070
   3626.00    78.460
   3628.00    79.175
   3630.00    80.425
   3632.00    80.780
   3634.00    81.680
   3636.00    82.290
   3638.00    83.305
   3640.00    83.480
   3642.00    82.985
   3644.00    83.135
   3646.00    84.090
   3648.00    83.310
   3650.00    82.920
   3652.00    82.510
   3654.00    82.080
   3656.00    81.390
   3658.00    81.055
   3660.00    80.640
   3662.00    80.560
   3664.00    80.290
   3666.00    80.480
   3668.00    79.840
   3670.00    79.925
   3672.00    79.625
   3674.00    80.165
   3676.00    80.430
   3678.00    79.595
   3680.00    80.390
   3682.00    80.050
   3684.00    80.445
   3686.00    80.190
   3688.00    80.375
   3690.00    80.250
   3692.00    79.920
   3694.00    79.615
   3696.00    79.010
   3698.00    78.285
   3700.00    77.595
   3702.00    77.000
   3704.00    77.030
   3706.00    75.685
   3708.00    76.165
   3710.00    75.595
   3712.00    75.225
   3714.00    75.425
   3716.00    75.190
   3718.00    75.850
   3720.00    75.860
   3722.00    77.360
   3724.00    77.505
   3726.00    77.980
   3728.00    78.995
   3730.00    79.755
   3732.00    80.205
   3734.00    81.275
   3736.00    81.975
   3738.00    83.295
   3740.00    83.855
   3742.00    84.415
   3744.00    85.130
   3746.00    85.445
   3748.00    87.120
   3750.00    86.900
   3752.00    86.970
   3754.00    86.900
   3756.00    86.330
   3758.00    87.445
   3760.00    87.425
   3762.00    88.310
   3764.00    88.045
   3766.00    88.820
   3768.00    87.815
   3770.00    88.975
   3772.00    89.640
   3774.00    90.060
   3776.00    91.095
   3778.00    91.450
   3780.00    92.175
   3782.00    91.950
   3784.00    92.340
   3786.00    92.160
   3788.00    93.215
   3790.00    92.820
   3792.00    92.055
   3794.00    91.850
   3796.00    91.865
   3798.00    91.300
   3800.00    90.315
   3802.00    89.030
   3804.00    88.705
   3806.00    87.595
   3808.00    86.835
   3810.00    86.555
   3812.00    85.770
   3814.00    84.795
   3816.00    84.790
   3818.00    84.540
   3820.00    84.370
   3822.00    84.510
   3824.00    84.560
   3826.00    84.915
   3828.00    85.000
   3830.00    85.200
   3832.00    86.245
   3834.00    86.570
   3836.00    87.090
   3838.00    87.720
   3840.00    87.400
   3842.00    88.120
   3844.00    88.430
   3846.00    88.395
   3848.00    88.365
   3850.00    88.985
   3852.00    88.475
   3854.00    88.385
   3856.00    87.680
   3858.00    87.735
   3860.00    87.135
   3862.00    86.730
   3864.00    86.115
   3866.00    85.800
   3868.00    85.685
   3870.00    85.980
   3872.00    85.425
   3874.00    85.495
   3876.00    85.640
   3878.00    85.425
   3880.00    85.915
   3882.00    85.945
   3884.00    86.435
   3886.00    87.155
   3888.00    87.640
   3890.00    88.145
   3892.00    89.060
   3894.00    88.700
   3896.00    89.245
   3898.00    89.450
   3900.00    89.765
   3902.00    89.435
   3904.00    89.700
   3906.00    89.150
   3908.00    89.215
   3910.00    88.455
   3912.00    88.140
   3914.00    87.305
   3916.00    86.495
   3918.00    85.815
   3920.00    85.275
   3922.00    85.015
   3924.00    84.160
   3926.00    83.165
   3928.00    82.790
   3930.00    83.075
   3932.00    82.815
   3934.00    82.590
   3936.00    82.995
   3938.00    83.290
   3940.00    83.565
   3942.00    84.325
   3944.00    84.850
   3946.00    85.750
   3948.00    86.715
   3950.00    87.655
   3952.00    88.110
   3954.00    89.265
   3956.00    90.290
   3958.00    91.130
   3960.00    92.175
   3962.00    92.690
   3964.00    93.735
